,title,rating,url
0,"Lentil, Apple, and Turkey Wrap ",2.5,"https://www.epicurious.com/search?q=Lentil,+Apple,+and+Turkey+Wrap"
1,Boudin Blanc Terrine with Red Onion Confit ,4.4,https://www.epicurious.com/search?q=Boudin+Blanc+Terrine+with+Red+Onion+Confit
2,Potato and Fennel Soup Hodge ,3.8,https://www.epicurious.com/search?q=Potato+and+Fennel+Soup+Hodge
3,Mahi-Mahi in Tomato Olive Sauce ,5.0,https://www.epicurious.com/search?q=Mahi-Mahi+in+Tomato+Olive+Sauce
4,Spinach Noodle Casserole ,3.1,https://www.epicurious.com/search?q=Spinach+Noodle+Casserole
5,The Best Blts ,4.4,https://www.epicurious.com/search?q=The+Best+Blts
6,Ham and Spring Vegetable Salad with Shallot Vinaigrette ,4.4,https://www.epicurious.com/search?q=Ham+and+Spring+Vegetable+Salad+with+Shallot+Vinaigrette
7,Spicy-Sweet Kumquats ,3.8,https://www.epicurious.com/search?q=Spicy-Sweet+Kumquats
8,Korean Marinated Beef ,4.4,https://www.epicurious.com/search?q=Korean+Marinated+Beef
9,Ham Persillade with Mustard Potato Salad and Mashed Peas ,3.8,https://www.epicurious.com/search?q=Ham+Persillade+with+Mustard+Potato+Salad+and+Mashed+Peas
10,"Yams Braised with Cream, Rosemary and Nutmeg ",3.8,"https://www.epicurious.com/search?q=Yams+Braised+with+Cream,+Rosemary+and+Nutmeg"
11,Spicy Noodle Soup ,4.4,https://www.epicurious.com/search?q=Spicy+Noodle+Soup
12,Banana-Chocolate Chip Cake With Peanut Butter Frosting ,4.4,https://www.epicurious.com/search?q=Banana-Chocolate+Chip+Cake+With+Peanut+Butter+Frosting
13,Beef Tenderloin with Garlic and Brandy ,4.4,https://www.epicurious.com/search?q=Beef+Tenderloin+with+Garlic+and+Brandy
14,Peach Mustard ,3.1,https://www.epicurious.com/search?q=Peach+Mustard
15,Raw Cream of Spinach Soup ,4.4,https://www.epicurious.com/search?q=Raw+Cream+of+Spinach+Soup
16,Sweet Buttermilk Spoon Breads ,1.9,https://www.epicurious.com/search?q=Sweet+Buttermilk+Spoon+Breads
17,Crisp Braised Pork Shoulder ,4.4,https://www.epicurious.com/search?q=Crisp+Braised+Pork+Shoulder
18,Mozzarella-Topped Peppers with Tomatoes and Garlic ,5.0,https://www.epicurious.com/search?q=Mozzarella-Topped+Peppers+with+Tomatoes+and+Garlic
19,"Tuna, Asparagus, and New Potato Salad with Chive Vinaigrette and Fried Capers ",5.0,"https://www.epicurious.com/search?q=Tuna,+Asparagus,+and+New+Potato+Salad+with+Chive+Vinaigrette+and+Fried+Capers"
20,Asian Pear and Watercress Salad with Sesame Dressing ,4.4,https://www.epicurious.com/search?q=Asian+Pear+and+Watercress+Salad+with+Sesame+Dressing
21,"""Fried"" Chicken ",3.8,"https://www.epicurious.com/search?q=""Fried""+Chicken"
22,Fish Fillets in Parchment with Asparagus and Orange ,3.8,https://www.epicurious.com/search?q=Fish+Fillets+in+Parchment+with+Asparagus+and+Orange
23,Pancetta and Taleggio Lasagna with Treviso ,3.8,https://www.epicurious.com/search?q=Pancetta+and+Taleggio+Lasagna+with+Treviso
24,Sea Salt-Roasted Pecans ,3.8,https://www.epicurious.com/search?q=Sea+Salt-Roasted+Pecans
25,Garlic Baguette Crumbs ,0.0,https://www.epicurious.com/search?q=Garlic+Baguette+Crumbs
26,Cucumber-Basil Egg Salad ,3.8,https://www.epicurious.com/search?q=Cucumber-Basil+Egg+Salad
